"","CBSA.Code","CBSA.Title","Eligibles","Enrolled","Penetration","bins"
"1","10100","Aberdeen, SD",7704,702,0.091,0.1
"2","10140","Aberdeen, WA",16612,1110,0.067,0.1
"3","10180","Abilene, TX",28336,5303,0.187,0.2
"4","10220","Ada, OK",7402,504,0.068,0.1
"5","10260","Adjuntas, PR",3496,2370,0.678,0.7
"6","10300","Adrian, MI",20623,5419,0.263,0.3
"7","10380","Aguadilla-Isabela, PR",72169,54603,0.757,0.8
"8","10420","Akron, OH",128573,61714,0.48,0.5
"9","10460","Alamogordo, NM",11455,2036,0.178,0.2
"10","10500","Albany, GA",26594,6901,0.259,0.3
"11","10540","Albany, OR",24810,12427,0.501,0.6
"12","10580","Albany-Schenectady-Troy, NY",160744,65090,0.405,0.5
"13","10620","Albemarle, NC",12793,3060,0.239,0.3
"14","10660","Albert Lea, MN",7435,3889,0.523,0.6
"15","10700","Albertville, AL",19291,2162,0.112,0.2
"16","10740","Albuquerque, NM",149730,72488,0.484,0.5
"17","10780","Alexandria, LA",29926,4055,0.136,0.2
"18","10820","Alexandria, MN",9241,5619,0.608,0.7
"19","10860","Alice, TX",7158,2813,0.393,0.4
"20","10900","Allentown-Bethlehem-Easton, PA-NJ",161606,41343,0.256,0.3
"21","10940","Alma, MI",8007,1824,0.228,0.3
"22","10980","Alpena, MI",8225,1367,0.166,0.2
"23","11020","Altoona, PA",29155,14497,0.497,0.5
"24","11060","Altus, OK",4130,138,0.033,0.1
"25","11100","Amarillo, TX",38206,6999,0.183,0.2
"26","11140","Americus, GA",6503,2046,0.315,0.4
"27","11180","Ames, IA",11405,1213,0.106,0.2
"28","11220","Amsterdam, NY",11564,4314,0.373,0.4
"29","11260","Anchorage, AK",42434,196,0.005,0.1
"30","11380","Andrews, TX",1989,341,0.171,0.2
"31","11420","Angola, IN",6879,2746,0.399,0.4
"32","11460","Ann Arbor, MI",50198,13389,0.267,0.3
"33","11500","Anniston-Oxford-Jacksonville, AL",25657,3645,0.142,0.2
"34","11540","Appleton, WI",35343,20481,0.579,0.6
"35","11580","Arcadia, FL",6298,1389,0.221,0.3
"36","11620","Ardmore, OK",9640,706,0.073,0.1
"37","11640","Arecibo, PR",46687,35144,0.753,0.8
"38","11660","Arkadelphia, AR",4405,822,0.187,0.2
"39","11680","Arkansas City-Winfield, KS",7103,687,0.097,0.1
"40","11700","Asheville, NC",103277,25729,0.249,0.3
"41","11740","Ashland, OH",10319,3937,0.382,0.4
"42","11780","Ashtabula, OH",21461,5488,0.256,0.3
"43","11820","Astoria, OR",8381,1880,0.224,0.3
"44","11860","Atchison, KS",3007,168,0.056,0.1
"45","11900","Athens, OH",9378,3262,0.348,0.4
"46","11940","Athens, TN",12113,3533,0.292,0.3
"47","11980","Athens, TX",18887,4432,0.235,0.3
"48","12020","Athens-Clarke County, GA",28212,7120,0.252,0.3
"49","12060","Atlanta-Sandy Springs-Roswell, GA",695289,223446,0.321,0.4
"50","12100","Atlantic City-Hammonton, NJ",50698,4724,0.093,0.1
"51","12140","Auburn, IN",7783,3392,0.436,0.5
"52","12180","Auburn, NY",15068,3868,0.257,0.3
"53","12220","Auburn-Opelika, AL",19683,2637,0.134,0.2
"54","12260","Augusta-Richmond County, GA-SC",99394,27173,0.273,0.3
"55","12300","Augusta-Waterville, ME",29143,7600,0.261,0.3
"56","12380","Austin, MN",8124,2840,0.35,0.4
"57","12420","Austin-Round Rock, TX",206997,51034,0.247,0.3
"58","12460","Bainbridge, GA",5243,1358,0.259,0.3
"59","12540","Bakersfield, CA",103349,36410,0.352,0.4
"60","12580","Baltimore-Columbia-Towson, MD",442072,39873,0.09,0.1
"61","12620","Bangor, ME",33265,6871,0.207,0.3
"62","12660","Baraboo, WI",12239,4286,0.35,0.4
"63","12680","Bardstown, KY",8320,1651,0.198,0.2
"64","12700","Barnstable Town, MA",68100,7031,0.103,0.2
"65","12740","Barre, VT",12177,854,0.07,0.1
"66","12780","Bartlesville, OK",11193,884,0.079,0.1
"67","12820","Bastrop, LA",6054,1229,0.203,0.3
"68","12860","Batavia, NY",12008,6601,0.55,0.6
"69","12900","Batesville, AR",8085,820,0.101,0.2
"70","12940","Baton Rouge, LA",121616,53378,0.439,0.5
"71","12980","Battle Creek, MI",28666,5358,0.187,0.2
"72","13020","Bay City, MI",24274,6418,0.264,0.3
"73","13060","Bay City, TX",6439,1414,0.22,0.3
